Date,hour_of_day,order_count,avg_ticket_size,day_name,month,is_peak_hour,day_code
2024-03-01,10,1,38.7,Friday,3,0,0
2024-03-01,12,2,38.7,Friday,3,0,0
2024-03-01,13,2,33.8,Friday,3,0,0
2024-03-01,15,1,33.8,Friday,3,0,0
2024-03-01,16,1,38.7,Friday,3,0,0
2024-03-01,18,1,33.8,Friday,3,0,0
2024-03-01,19,3,35.43333333333333,Friday,3,1,0
2024-03-02,10,2,31.349999999999998,Saturday,3,0,2
2024-03-02,11,1,33.8,Saturday,3,0,2
2024-03-02,14,1,28.9,Saturday,3,0,2
2024-03-02,16,1,33.8,Saturday,3,0,2
2024-03-02,17,1,28.9,Saturday,3,0,2
2024-03-03,10,1,38.7,Sunday,3,0,3
2024-03-03,11,1,28.9,Sunday,3,0,3
2024-03-03,12,1,28.9,Sunday,3,0,3
2024-03-03,13,1,38.7,Sunday,3,0,3
2024-03-03,17,2,33.8,Sunday,3,0,3
2024-03-03,18,3,35.43333333333333,Sunday,3,1,3
2024-03-04,10,2,38.7,Monday,3,0,1
2024-03-04,11,1,33.8,Monday,3,0,1
2024-03-04,14,1,24.0,Monday,3,0,1
2024-03-05,9,1,38.7,Tuesday,3,0,5
2024-03-05,14,1,38.7,Tuesday,3,0,5
2024-03-05,17,6,37.06666666666667,Tuesday,3,1,5
2024-03-05,18,1,38.7,Tuesday,3,0,5
2024-03-06,13,2,28.9,Wednesday,3,0,6
2024-03-06,14,2,38.7,Wednesday,3,0,6
2024-03-07,10,1,38.7,Thursday,3,0,4
2024-03-07,11,1,38.7,Thursday,3,0,4
2024-03-07,15,2,31.349999999999998,Thursday,3,0,4
2024-03-08,10,1,28.9,Friday,3,0,0
2024-03-08,12,1,38.7,Friday,3,0,0
2024-03-08,13,1,28.9,Friday,3,0,0
2024-03-08,14,3,30.53333333333333,Friday,3,1,0
2024-03-08,18,2,38.7,Friday,3,0,0
2024-03-09,12,5,29.880000000000003,Saturday,3,1,2
2024-03-09,13,4,35.025,Saturday,3,1,2
2024-03-09,14,2,36.25,Saturday,3,0,2
2024-03-09,19,2,38.7,Saturday,3,0,2
2024-03-10,11,1,24.0,Sunday,3,0,3
2024-03-10,19,2,33.8,Sunday,3,0,3
2024-03-11,11,1,38.7,Monday,3,0,1
2024-03-11,16,3,32.166666666666664,Monday,3,1,1
2024-03-12,10,2,28.9,Tuesday,3,0,5
2024-03-12,11,1,38.7,Tuesday,3,0,5
2024-03-12,12,2,31.349999999999998,Tuesday,3,0,5
2024-03-12,16,1,28.9,Tuesday,3,0,5
2024-03-13,11,2,33.8,Wednesday,3,0,6
2024-03-13,12,2,28.9,Wednesday,3,0,6
2024-03-13,14,1,33.8,Wednesday,3,0,6
2024-03-13,15,2,24.0,Wednesday,3,0,6
2024-03-13,16,1,24.0,Wednesday,3,0,6
2024-03-14,10,2,38.7,Thursday,3,0,4
2024-03-14,13,4,28.9,Thursday,3,1,4
2024-03-14,15,1,38.7,Thursday,3,0,4
2024-03-14,16,2,28.9,Thursday,3,0,4
2024-03-14,18,1,38.7,Thursday,3,0,4
2024-03-14,19,1,28.9,Thursday,3,0,4
2024-03-15,10,1,38.7,Friday,3,0,0
2024-03-15,18,1,28.9,Friday,3,0,0
2024-03-16,12,2,31.349999999999998,Saturday,3,0,2
2024-03-16,15,1,28.9,Saturday,3,0,2
2024-03-16,16,2,28.9,Saturday,3,0,2
2024-03-16,17,1,33.8,Saturday,3,0,2
2024-03-17,12,1,28.9,Sunday,3,0,3
2024-03-18,11,1,28.9,Monday,3,0,1
2024-03-18,15,3,28.899999999999995,Monday,3,1,1
2024-03-19,14,2,38.7,Tuesday,3,0,5
2024-03-19,15,1,38.7,Tuesday,3,0,5
2024-03-19,16,1,33.8,Tuesday,3,0,5
2024-03-20,11,1,28.9,Wednesday,3,0,6
2024-03-20,12,1,28.9,Wednesday,3,0,6
2024-03-20,13,1,38.7,Wednesday,3,0,6
2024-03-20,16,1,38.7,Wednesday,3,0,6
2024-03-20,17,1,38.7,Wednesday,3,0,6
2024-03-21,12,2,33.8,Thursday,3,0,4
2024-03-21,17,1,28.9,Thursday,3,0,4
2024-03-21,19,1,38.7,Thursday,3,0,4
2024-03-22,10,1,33.8,Friday,3,0,0
2024-03-22,13,1,33.8,Friday,3,0,0
2024-03-22,17,3,27.266666666666666,Friday,3,1,0
2024-03-23,10,2,36.25,Saturday,3,0,2
2024-03-23,13,2,38.7,Saturday,3,0,2
2024-03-23,14,1,33.8,Saturday,3,0,2
2024-03-23,15,2,36.25,Saturday,3,0,2
2024-03-23,16,1,28.9,Saturday,3,0,2
2024-03-24,18,1,38.7,Sunday,3,0,3
2024-03-25,10,1,38.7,Monday,3,0,1
2024-03-25,14,2,38.7,Monday,3,0,1
2024-03-25,18,1,33.8,Monday,3,0,1
2024-03-25,19,1,38.7,Monday,3,0,1
2024-03-26,10,3,38.7,Tuesday,3,1,5
2024-03-26,11,1,28.9,Tuesday,3,0,5
2024-03-26,13,4,28.9,Tuesday,3,1,5
2024-03-26,15,1,38.7,Tuesday,3,0,5
2024-03-26,18,2,38.7,Tuesday,3,0,5
2024-03-27,11,2,31.349999999999998,Wednesday,3,0,6
2024-03-27,12,1,33.8,Wednesday,3,0,6
2024-03-27,13,1,38.7,Wednesday,3,0,6
2024-03-27,14,2,33.8,Wednesday,3,0,6
2024-03-27,18,1,28.9,Wednesday,3,0,6
2024-03-28,14,1,28.9,Thursday,3,0,4
2024-03-28,17,3,32.166666666666664,Thursday,3,1,4
